,stormid,year,month,day,hour,llon,ulon,llat,ulat,centlon,centlat,area,mean_olr
9032,11236749.0,2001,7,12,0,357.14725,358.72675,15.366753,16.46025,358.72675,16.46025,10368,0.003812
9033,11233632.0,2001,7,11,0,351.67975,352.89474,15.731251,16.70325,352.89474,16.70325,6192,0.002414
9034,11233388.0,2001,7,11,0,360.79224,362.12872,16.21725,16.94625,362.12872,16.94625,5760,0.003238
9035,11233969.0,2001,7,11,0,366.01672,367.11023,15.245251,16.21725,367.11023,16.21725,5904,0.001929
9036,11240245.0,2001,7,13,0,347.91324,349.85724,13.5442505,15.366753,349.85724,15.366753,22752,0.003596
9037,11242673.0,2001,7,13,0,348.52072,349.24973,12.450752,13.179752,349.24973,13.179752,5184,0.002042
9038,11239452.0,2001,7,12,0,350.82922,352.28723,13.5442505,14.516251,352.28723,14.516251,7056,0.003534
9039,11240919.0,2001,7,12,0,347.06274,348.52072,11.35725,12.08625,348.52072,12.08625,6480,0.003008
9040,11249732.0,2001,7,14,0,352.04422,355.32474,11.11425,13.179752,355.32474,13.179752,31392,0.002659
9041,11246292.0,2001,7,13,0,345.96924,347.42725,15.366753,16.46025,347.42725,16.46025,7776,0.001107
9042,11243318.0,2001,7,13,0,344.02524,345.72623,9.291752,10.020752,345.72623,10.020752,7920,0.002248
9043,11248801.0,2001,7,13,0,351.43674,353.01624,10.62825,11.478752,353.01624,11.478752,8640,0.002071
9044,11247792.0,2001,7,13,0,351.55823,353.01624,11.60025,12.32925,353.01624,12.32925,5904,0.002589
9045,11254344.0,2001,7,14,0,351.80124,352.77322,12.693752,13.5442505,352.77322,13.5442505,7200,0.002125
9046,11259654.0,2001,7,15,0,347.42725,348.64224,10.14225,10.62825,348.64224,10.62825,5328,0.001477
9047,11259335.0,2001,7,15,0,367.83923,370.63373,12.57225,15.974251,370.63373,15.974251,37296,0.002145
9048,11262979.0,2001,7,15,0,371.48422,373.42822,13.665752,15.245251,373.42822,15.245251,20592,0.003680
9049,11248487.0,2001,7,14,0,373.79272,374.64325,10.020752,11.478752,374.64325,11.478752,9648,0.002769
9050,11258788.0,2001,7,15,0,351.55823,352.77322,11.35725,11.964752,352.77322,11.964752,5328,0.003684
9051,11263714.0,2001,7,15,0,369.66174,371.60574,15.123753,16.581753,371.60574,16.581753,8928,0.001255
9052,11258633.0,2001,7,14,0,370.75525,372.69922,8.319752,10.020752,372.69922,10.020752,14256,0.002144
9053,11262803.0,2001,7,15,0,366.98874,369.29724,11.35725,12.32925,369.29724,12.32925,12528,0.002473
9054,11263932.0,2001,7,15,0,372.45624,373.79272,10.263752,11.235752,373.79272,11.235752,5616,0.001171
9055,11257870.0,2001,7,14,0,368.93274,370.87674,9.291752,11.35725,370.87674,11.35725,8352,0.002946
9056,11258872.0,2001,7,14,0,369.90472,371.60574,14.151752,15.366753,371.60574,15.366753,9504,0.002683
9057,11259786.0,2001,7,14,0,371.60574,372.94223,14.880753,15.609753,372.94223,15.609753,5472,0.002917
9058,11260357.0,2001,7,14,0,368.68973,370.26923,9.89925,11.721752,370.26923,11.721752,8928,0.001578
9059,11260108.0,2001,7,14,0,353.50223,354.71722,10.38525,11.11425,354.71722,11.11425,7776,0.002635
9060,11260871.0,2001,7,14,0,367.59622,368.32523,14.637753,15.731251,368.32523,15.731251,6480,0.002076
9061,11258905.0,2001,7,14,0,372.94223,374.40024,12.936752,14.637753,374.40024,14.637753,11232,0.002618
9062,11257921.0,2001,7,14,0,373.42822,374.88623,14.3947525,15.245251,374.88623,15.245251,7776,0.002592
9063,11267455.0,2001,7,15,0,345.84775,347.79175,10.263752,11.235752,347.79175,11.235752,12096,0.002063
9064,11268463.0,2001,7,15,0,363.58673,364.55875,11.235752,12.08625,364.55875,12.08625,5616,0.002509
9065,11279919.0,2001,7,17,0,352.16574,353.25925,9.777752,10.506752,353.25925,10.506752,6768,0.004227
9066,11279518.0,2001,7,17,0,359.82022,360.67075,13.30125,14.273251,360.67075,14.273251,5040,0.002495
9067,11278943.0,2001,7,17,0,360.54922,363.22223,15.852753,17.918251,363.22223,17.918251,29376,0.002532
9068,11279521.0,2001,7,17,0,362.73624,364.55875,14.637753,15.366753,364.55875,15.366753,8640,0.003530
9069,11280001.0,2001,7,17,0,352.16574,353.25925,13.179752,13.7872505,353.25925,13.7872505,5328,0.004452
9070,11280169.0,2001,7,17,0,352.53024,353.50223,10.992752,12.08625,353.50223,12.08625,6336,0.005022
9071,11275909.0,2001,7,16,0,354.96024,356.05374,11.11425,12.08625,356.05374,12.08625,7344,0.003469
9072,11276322.0,2001,7,16,0,365.53073,366.38123,15.488251,16.46025,366.38123,16.46025,5184,0.002092
9073,11275942.0,2001,7,16,0,369.05423,370.26923,9.534752,10.263752,370.26923,10.263752,5760,0.001647
9074,11275932.0,2001,7,16,0,366.38123,368.81122,12.32925,12.81525,368.81122,12.81525,7344,0.002486
9075,11276738.0,2001,7,16,0,354.71722,356.05374,13.179752,14.273251,356.05374,14.273251,6912,0.002470
9076,11276325.0,2001,7,16,0,363.82974,367.71774,16.21725,17.79675,367.71774,17.79675,31392,0.002402
9077,11277677.0,2001,7,16,0,365.65222,366.98874,14.516251,15.731251,366.98874,15.731251,8784,0.002693
9078,11277629.0,2001,7,16,0,353.62372,354.47424,10.263752,11.35725,354.47424,11.35725,5760,0.003669
9079,11279665.0,2001,7,16,0,364.19424,365.53073,14.273251,15.002251,365.53073,15.002251,5328,0.003191
9080,11285515.0,2001,7,18,0,347.79175,348.52072,13.30125,14.273251,348.52072,14.273251,5328,0.001517
9081,11283751.0,2001,7,17,0,348.15622,349.24973,11.84325,13.179752,349.24973,13.179752,7056,0.004072
9082,11283872.0,2001,7,17,0,369.78323,370.99823,11.60025,12.450752,370.99823,12.450752,6480,0.001904
9083,11283917.0,2001,7,19,0,364.80173,366.38123,10.14225,11.235752,366.38123,11.235752,13536,0.003714
9084,11291560.0,2001,7,19,0,348.52072,349.61423,12.936752,13.908752,349.61423,13.908752,7344,0.003222
9085,11289492.0,2001,7,18,0,349.85724,351.92273,14.759251,15.366753,351.92273,15.366753,6048,0.003156
9086,11288812.0,2001,7,19,0,371.60574,372.69922,10.62825,12.57225,372.69922,12.57225,10944,0.001385
9087,11289953.0,2001,7,18,0,366.25974,367.11023,16.94625,17.79675,367.11023,17.79675,5328,0.001414
9088,11295645.0,2001,7,20,0,353.38074,354.35272,9.89925,10.506752,354.35272,10.506752,5328,0.002783
9089,11294366.0,2001,7,19,0,368.44672,369.54022,12.32925,13.05825,369.54022,13.05825,5472,0.003336
9090,11293985.0,2001,7,19,0,368.68973,369.29724,9.291752,10.506752,369.29724,10.506752,6048,0.002877
9091,11295366.0,2001,7,19,0,358.11923,359.45572,15.609753,16.70325,359.45572,16.70325,6048,0.001879
9092,11294688.0,2001,7,19,0,356.66122,357.51172,12.32925,13.179752,357.51172,13.179752,5472,0.001880
9093,11295341.0,2001,7,19,0,344.75424,346.09073,12.81525,13.422752,346.09073,13.422752,5184,0.004098
9094,11298960.0,2001,7,20,0,347.42725,349.37125,10.749752,11.721752,349.37125,11.721752,11088,0.003415
9095,11299855.0,2001,7,20,0,350.10022,352.16574,13.179752,13.7872505,352.16574,13.7872505,11664,0.003353
9096,11299618.0,2001,7,20,0,355.08173,356.41824,13.30125,14.3947525,356.41824,14.3947525,7632,0.001599
9097,11299010.0,2001,7,20,0,368.81122,370.63373,9.777752,10.992752,370.63373,10.992752,8064,0.001631
9098,11298340.0,2001,7,20,0,369.54022,372.57773,11.84325,15.609753,372.57773,15.609753,38880,0.002521
9099,11298001.0,2001,7,20,0,370.51224,371.72723,11.60025,12.207752,371.72723,12.207752,5616,0.003239
9100,11299579.0,2001,7,20,0,345.60474,346.69824,9.89925,10.506752,346.69824,10.506752,5760,0.004859
